SKU,Bulk Quantity,Material,ReqScrew,ScrewType,FreePegs,FreeSpike,Bulk SKU,Manage Stock
FL560WS-SLV,,Weathering steel,10,zinc,,,FL560WS-SLV-BLK,TRUE
FL560WS-SLV-BLK,10,Weathering steel,100,zinc,,,,TRUE
FL560GS-SLV,,Galvanised steel,10,dacromet,,,FL560GS-SLV-BLK,TRUE
FL560GS-SLV-BLK,10,Galvanised steel,100,dacromet,,,,TRUE
BSTRUT,,Galvanised steel,4,dacromet,,,BSTRUT-BLK,TRUE
BSTRUT-BLK,20,Galvanised steel,80,dacromet,,,,TRUE
FHL-UCSE-WS400,,Weathering steel,8,dacromet,,,FHL-UCSE-WS400-BLK,TRUE
FHL-UCSE-WS400-BLK,20,Weathering steel,160,dacromet,,,,TRUE
FHL-UCSE-GS400,,Galvanised steel,8,dacromet,,,,TRUE
FHL-UCSE-WS560,,Weathering steel,8,dacromet,,,FHL-UCSE-WS560-BLK,TRUE
FHL-UCSE-WS560-BLK,20,Weathering steel,160,dacromet,,,,TRUE
FHL-UCSE-GS560,,Galvanised steel,8,dacromet,,,,TRUE
FHL-UCSI-400,,Mild steel,6,dacromet,,,FHL-UCSI-400-BLK,TRUE
FHL-UCSI-400-BLK,100,Mild steel,600,dacromet,,,,TRUE
FHL-UCSI-560,,Mild steel,6,dacromet,,,FHL-UCSI-560-BLK,TRUE
FHL-UCSI-560-BLK,100,Mild steel,120,dacromet,,,,TRUE
FHL400JS-WS,,Weathering steel,12,dacromet,,,FHL400JS-WS-BLK,TRUE
FHL400JS-WS-BLK,40,Weathering steel,480,dacromet,,,,TRUE
FHL400JS-GS,,Galvanised steel,12,dacromet,,,,TRUE
FHL560JS-WS,,Weathering steel,12,dacromet,,,FHL560JS-WS-BLK,TRUE
FHL560JS-WS-BLK,40,Weathering steel,480,dacromet,,,,TRUE
FHL560JS-GS,,Galvanised steel,12,dacromet,,,,TRUE
FHL-BS,,Mild steel,,,,,FHL-BS-BLK,TRUE
FHL-BS-BLK,20,Mild steel,,,,,,TRUE
BS-UNI-ST,,Galvanised steel,,,,,BS-UNI-ST-BLK,TRUE
BS-UNI-ST-BLK,20,Galvanised steel,,,,,,TRUE
RIB400FHL,,Mild steel,,,,,RIB400FHL-BLK,TRUE
RIB400FHL-BLK,40,Mild steel,,,,,,TRUE
RIB560FHL,,Mild steel,,,,,RIB560FHL-BLK,TRUE
RIB560FHL-BLK,40,Mild steel,,,,,,TRUE
RIB240MS,,Mild steel,,,,,RIB240MS-BLK,TRUE
RIB240MS-BLK,40,Mild steel,,,,,,TRUE
RIB400MS,,Mild steel,,,,,RIB400MS-BLK,TRUE
RIB400MS-BLK,40,Mild steel,,,,,,TRUE
RIB560MS,,Mild steel,,,,,RIB560MS-BLK,TRUE
RIB560MS-BLK,40,Mild steel,,,,,,TRUE
HSP185,,Mild Steel,,,,,,TRUE
PEG-WS-HD,,Weathering steel,,,,,PEG-WS-HD-BLK,TRUE
PEG-WS-HD-BLK,50,Weathering steel,,,,,,TRUE
SC-PEG-WS,,,,,,,SC-PEG-WS-BLK,TRUE
SC-PEG-WS-BLK,10,Weathering steel,,,,,,TRUE
SC-PEG-GS,,,,,,,SC-PEG-GS-BLK,TRUE
SC-PEG-GS-BLK,10,Galvanised steel,,,,,,TRUE
SC-PEG-GS-3FREE,,Galvanised steel,,,,,,FALSE
SC-PEG-WS-3FREE,,Weathering steel,,,,,,FALSE
SPIKE-FREE,,Galvanised steel,,,,,,FALSE
SPIKE,,Galvanised steel,,,,,,TRUE
SPIKE-BOX,,Galvanised steel,,,,,,TRUE
SCPR-4-SS-B20,,Stainless steel,,,,,SCPR-4-SS-B20-BLK,TRUE
SCPR-4-SS-B20-BLK,100,Stainless steel,,,,,,TRUE
SCPR-4-SS-B250,,Stainless steel,,,,,SCPR-4-SS-B250-BLK,TRUE
SCPR-4-SS-B250-BLK,18,Stainless steel,,,,,,TRUE
TSCZ12G-B20,,zinc,,,,,TSCZ12G-B20-BLK,TRUE
TSCZ12G-B20-BLK,100,zinc,,,,,,TRUE
TSCZ12G-B50,,zinc,,,,,TSCZ12G-B50-BLK,TRUE
TSCZ12G-B50-BLK,100,zinc,,,,,,TRUE
TSCZ12G-B250,,zinc,,,,,TSCZ12G-B250-BLK,TRUE
TSCZ12G-B250-BLK,18,zinc,,,,,,TRUE
TSDM12G-B20,,zinc,,,,,TSDM12G-B20-BLK,TRUE
TSDM12G-B20-BLK,100,dacromet,,,,,,TRUE
TSDM12G-B50,,dacromet,,,,,TSDM12G-B50-BLK,TRUE
TSDM12G-B50-BLK,100,dacromet,,,,,,TRUE
TSDM12G-B250,,dacromet,,,,,TSDM12G-B250-BLK,TRUE
TSDM12G-B250-BLK,18,dacromet,,,,,,TRUE
POST-1100,,Galvanised steel,4,dacromet,,,POST-1100-BLK,TRUE
POST-1100-BLK,12,Galvanised steel,48,dacromet,,,,TRUE
POST-470,,Galvanised steel,2,dacromet,,,POST-470-BLK,TRUE
POST-470-BLK,20,Galvanised steel,40,dacromet,,,,TRUE
ANCHOR-SET-FL-PRTS,,Galvanised steel,6,dacromet,,,ANCHOR-SET-FL-PRTS-BLK,TRUE
ANCHOR-SET-FL-PRTS-BLK,20,Galvanised steel,120,dacromet,,,,TRUE
DB8-2PCK,,Stainless steel,,,,,DB8-2PCK-BLK,TRUE
DB8-2PCK-BLK,100,Stainless steel,,,,,,TRUE
